,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm artist id,spotify followers-jan 5,spotify followers-dec 6,Max Weekly Velocity
900,1,2020-04-26T00:00:00.000Z,Laxed - Siren Beat,Jawsh 685,NZAM02001128,,29203381.0,121,['2020-04-24T00:00:00.000Z'],3654834.0,45.0,58011.0,7.0
901,2,2020-04-26T00:00:00.000Z,Savage,Megan Thee Stallion,QMCE32000097,-0.14285714285714302,28677612.0,113,['2020-03-06T00:00:00.000Z'],788785.0,630260.0,2628012.0,53.571428571428605
903,4,2020-04-26T00:00:00.000Z,Toosie Slide,Drake,USUG12001281,0.28571428571428603,28904803.0,101,"['2020-04-03T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-01T00:00:00.000Z']",3380.0,43492894.0,51102091.0,0.5714285714285711
905,6,2020-04-26T00:00:00.000Z,Captain Hook,Megan Thee Stallion,QMCE32000098,,28677613.0,37,['2020-03-06T00:00:00.000Z'],788785.0,630260.0,2628012.0,-3.28571428571429
906,7,2020-04-26T00:00:00.000Z,Cannibal X Whats My Name X Savage,rapidsongs ,ART0G2003156,-0.5714285714285711,32309203.0,48,['2020-10-12T00:00:00.000Z'],,,,-0.5714285714285711
907,8,2020-04-26T00:00:00.000Z,I'm Just a Kid,Simple Plan,USAT20111234,0.5714285714285711,15073090.0,134,"['2018-04-06T00:00:00.000Z', '2002-03-19T00:00:00.000Z', '2002-03-19T00:00:00.000Z', '2002-02-19T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-08-06T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z']",1232.0,2314292.0,2680919.0,95.1428571428571
909,10,2020-04-26T00:00:00.000Z,Lose Control,Meduza,DEUM71905792,-0.14285714285714302,25866511.0,115,"['2019-10-11T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2019-12-06T00:00:00.000Z', '2019-11-29T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2020-01-17T00:00:00.000Z', '2020-02-14T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-12T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-31T00:00:00.000Z', '2020-08-31T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-21T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-21T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-10T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-29T00:00:00.000Z', '2020-12-30T00:00:00.000Z', '2020-12-30T00:00:00.000Z']",1395408.0,142993.0,344118.0,1.42857142857143
910,11,2020-04-26T00:00:00.000Z,Pew Pew Pew,PEW PEW PEW,USSM11805300,-0.42857142857142894,19937236.0,63,"['2018-06-01T00:00:00.000Z', '2018-06-01T00:00:00.000Z']",,,,0.5714285714285711
911,12,2020-04-26T00:00:00.000Z,Supalonely (feat. Gus Dapperton),gus dapperton,USUM71922597,-0.7142857142857142,27219667.0,62,"['2019-11-15T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-10T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-10-27T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-25T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-07T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-21T00:00:00.000Z', '2020-12-21T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-29T00:00:00.000Z', '2020-12-30T00:00:00.000Z', '2020-12-30T00:00:00.000Z']",471312.0,225231.0,346525.0,0.14285714285714302
913,14,2020-04-26T00:00:00.000Z,Personal,Harvey,GBUM71705474,0.28571428571428603,17799080.0,112,"['2018-01-19T00:00:00.000Z', '2017-11-30T00:00:00.000Z', '2020-02-28T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",,,,3.4285714285714306
914,15,2020-04-26T00:00:00.000Z,Young Thug - Relationship (feat. Future),🥰,USAT21701747,-0.28571428571428603,15093585.0,65,['2017-06-16T00:00:00.000Z'],,,,0.14285714285714302
915,16,2020-04-26T00:00:00.000Z,They Call Me Tiago (Her Name Is Margo),Tiagz,QZFZ52038008,,28667532.0,37,"['2020-02-27T00:00:00.000Z', '2020-02-27T00:00:00.000Z', '2020-05-15T00:00:00.000Z']",877492.0,7048.0,122867.0,2.57142857142857
916,17,2020-04-26T00:00:00.000Z,2002 (Remix),Jayrous Morales,QZ22B1944940,0.28571428571428603,19411575.0,132,['2018-05-11T00:00:00.000Z'],,,,4.57142857142857
921,22,2020-04-26T00:00:00.000Z,Float on the Sound (Ey),Tiagz,QZHN51906144,0.14285714285714302,27807274.0,55,['2019-09-13T00:00:00.000Z'],877492.0,7048.0,122867.0,0.14285714285714302
922,23,2020-04-26T00:00:00.000Z,King's Dead,James Blake,USUM71714093,,18067564.0,32,"['2018-01-12T00:00:00.000Z', '2018-02-09T00:00:00.000Z', '2018-02-09T00:00:00.000Z', '2018-01-12T00:00:00.000Z']",3468.0,932079.0,1103799.0,
923,24,2020-04-26T00:00:00.000Z,AhiChallenge,ROD🥴,QM4TW2087087,-0.28571428571428603,28459077.0,74,['2020-02-09T00:00:00.000Z'],,,,10.4285714285714
926,27,2020-04-26T00:00:00.000Z,Sunday Best by Surfaces,rapidsongs ,TCAEA1802695,-1.0,22259898.0,49,"['2019-01-06T00:00:00.000Z', '2018-08-28T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2019-01-06T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-06-19T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-10T00:00:00.000Z', '2020-07-10T00:00:00.000Z', '2020-07-10T00:00:00.000Z', '2020-07-10T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-03T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-12T00:00:00.000Z', '2020-08-12T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-19T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-02T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-21T00:00:00.000Z', '2020-10-21T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-04T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-04T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-25T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-25T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-09T00:00:00.000Z', '2020-12-10T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-12T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-17T00:00:00.000Z', '2020-12-20T00:00:00.000Z', '2020-12-28T00:00:00.000Z', '2020-12-29T00:00:00.000Z', '2020-12-30T00:00:00.000Z', '2020-12-30T00:00:00.000Z']",,,,-0.28571428571428603
927,28,2020-04-26T00:00:00.000Z,death bed (coffee for your head),Cow & Sheep Lover,USSM12000925,0.14285714285714302,28419993.0,92,"['2020-02-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-07T00:00:00.000Z']",,,,0.28571428571428603
928,29,2020-04-26T00:00:00.000Z,Woah,Krypto9095,QZDA41998629,2.14285714285714,22809467.0,215,"['2019-03-29T00:00:00.000Z', '2019-03-29T00:00:00.000Z']",1458508.0,7820.0,15677.0,3.4285714285714306
929,30,2020-04-26T00:00:00.000Z,Kasih Slow,Nonna 3In1,FRX201906161,0.14285714285714302,26846801.0,105,['2019-11-01T00:00:00.000Z'],1572760.0,477.0,1515.0,9.0
930,31,2020-04-26T00:00:00.000Z,Snake,Lil Keed,QMCE31902281,-0.5714285714285711,24046736.0,73,['2019-06-14T00:00:00.000Z'],1130388.0,261983.0,565356.0,3.4285714285714306
933,34,2020-04-26T00:00:00.000Z,Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,QZFZ72089274,-1.42857142857143,28853953.0,52,['2020-03-20T00:00:00.000Z'],3605649.0,2.0,1832.0,-0.28571428571428603
934,35,2020-04-26T00:00:00.000Z,Surrender,Natalie Taylor,TCACJ1544888,1.57142857142857,14341447.0,210,['2015-10-29T00:00:00.000Z'],164355.0,23708.0,84628.0,14.0
935,36,2020-04-26T00:00:00.000Z,Roses - Imanbek Remix,SAINT JHN,DEE862000025,,28795304.0,17,"['2020-03-20T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-12-11T00:00:00.000Z']",23277.0,214198.0,583509.0,
937,38,2020-04-26T00:00:00.000Z,Skechers,DripReport,QZFYX2083092,0.0,28242824.0,62,"['2020-01-12T00:00:00.000Z', '2020-01-12T00:00:00.000Z', '2020-06-26T00:00:00.000Z']",3422954.0,1784.0,81873.0,2.14285714285714
938,39,2020-04-26T00:00:00.000Z,My Heart Went Oops,Tiagz,QZFYZ2088660,-1.0,28464620.0,64,"['2020-01-29T00:00:00.000Z', '2020-01-29T00:00:00.000Z', '2020-05-15T00:00:00.000Z']",877492.0,7048.0,122867.0,-0.14285714285714302
939,40,2020-04-26T00:00:00.000Z,Make Some TikTok,TikTok,ITV951900027,-0.5714285714285711,24008840.0,229,['2019-05-22T00:00:00.000Z'],,,,15.714285714285701
